Date/Time,Lat,Lon,Base
8/12/2014 19:19:00,40.7062,-74.0145,B02598
8/30/2014 17:39:00,40.64,-73.9672,B02764
8/3/2014 12:21:00,40.7242,-73.9788,B02598
8/15/2014 20:58:00,40.739000000000004,-73.9779,B02617
8/6/2014 19:12:00,40.7256,-74.0051,B02617
8/15/2014 22:34:00,40.7811,-73.9516,B02617
8/15/2014 13:41:00,40.7623,-73.9936,B02617
8/8/2014 15:28:00,40.7151,-74.0138,B02598
8/6/2014 17:59:00,40.7506,-73.9751,B02682
8/13/2014 20:05:00,40.7555,-73.9815,B02682
8/15/2014 10:06:00,40.7476,-74.0036,B02617
8/27/2014 21:13:00,40.7249,-73.9924,B02598
8/15/2014 8:35:00,40.7748,-73.9624,B02617
8/11/2014 17:08:00,40.7741,-73.9658,B02598
8/28/2014 20:56:00,40.7199,-74.0003,B02617
8/2/2014 11:40:00,40.723,-73.993,B02682
8/12/2014 18:14:00,40.7609,-73.9688,B02598
8/17/2014 20:37:00,40.1728,-74.0185,B02512
8/3/2014 12:12:00,40.7661,-73.9561,B02682
8/27/2014 18:55:00,40.7762,-73.9613,B02682
8/14/2014 11:07:00,40.7649,-73.9788,B02512
8/15/2014 10:35:00,40.7096,-74.0084,B02617
8/10/2014 17:57:00,40.7225,-73.9875,B02617
8/12/2014 22:56:00,40.6682,-73.8595,B02617
8/1/2014 20:49:00,40.6861,-73.9673,B02598
8/13/2014 22:13:00,40.7129,-73.9661,B02682
8/1/2014 16:21:00,40.7632,-73.97,B02598
8/8/2014 18:19:00,40.7312,-73.9886,B02682
8/22/2014 10:32:00,40.7631,-73.9785,B02682
8/23/2014 16:29:00,40.7189,-74.0048,B02764
8/9/2014 12:42:00,40.7683,-73.9554,B02598
8/6/2014 15:22:00,40.7053,-74.0079,B02617
8/24/2014 15:20:00,40.7325,-73.9913,B02617
8/11/2014 10:52:00,40.7503,-73.9834,B02617
8/13/2014 13:51:00,40.7387,-74.0038,B02617
8/1/2014 22:42:00,40.7265,-74.0,B02617
8/23/2014 13:53:00,40.7205,-73.9594,B02682
8/8/2014 9:29:00,40.7091,-74.0022,B02682
8/8/2014 18:18:00,40.7711,-73.8663,B02617
8/1/2014 18:57:00,40.7874,-73.9715,B02512
8/20/2014 17:42:00,40.7411,-73.99600000000001,B02598
8/13/2014 23:55:00,40.7297,-73.9597,B02617
8/3/2014 17:24:00,40.747,-73.9868,B02598
8/29/2014 12:55:00,40.7643,-73.977,B02598
8/13/2014 16:48:00,40.7627,-73.9679,B02617
8/26/2014 21:07:00,40.7511,-73.9783,B02598
8/16/2014 16:16:00,40.768,-73.9589,B02598
8/12/2014 15:04:00,40.764,-73.9963,B02598
8/16/2014 0:31:00,40.7581,-73.9889,B02617
8/18/2014 18:13:00,40.7419,-73.9937,B02682
8/25/2014 15:39:00,40.7432,-73.9955,B02682
8/2/2014 18:18:00,40.6947,-73.9825,B02682
8/15/2014 18:25:00,40.7441,-73.9838,B02512
8/24/2014 17:12:00,40.7117,-74.0068,B02617
8/29/2014 10:40:00,40.6944,-73.9837,B02764
8/4/2014 18:53:00,40.7612,-73.9793,B02598
8/5/2014 7:48:00,40.7483,-73.992,B02617
8/2/2014 12:06:00,40.7004,-73.9417,B02617
8/23/2014 23:40:00,40.7231,-73.9889,B02598
8/8/2014 12:45:00,40.7302,-73.9798,B02764
8/21/2014 21:44:00,40.7348,-73.999,B02682
8/5/2014 22:14:00,40.745,-73.9845,B02682
8/15/2014 5:38:00,40.7748,-73.9611,B02682
8/9/2014 16:21:00,40.8852,-73.7893,B02617
8/21/2014 20:10:00,40.7327,-73.9836,B02598
8/15/2014 18:26:00,40.6314,-73.9573,B02617
8/20/2014 21:06:00,40.7844,-73.9791,B02617
8/16/2014 17:26:00,40.7527,-73.8414,B02764
8/22/2014 12:26:00,40.7198,-74.0011,B02598
8/4/2014 19:36:00,40.7448,-73.9953,B02598
8/16/2014 10:49:00,40.7413,-74.006,B02598
8/5/2014 18:48:00,40.7458,-73.9939,B02617
8/3/2014 8:30:00,40.7218,-74.0043,B02617
8/12/2014 19:26:00,40.7608,-73.9835,B02598
8/26/2014 16:42:00,40.727,-74.0311,B02617
8/14/2014 7:53:00,40.7136,-73.9619,B02617
8/18/2014 15:41:00,40.7645,-73.9618,B02764
8/10/2014 17:50:00,40.7489,-73.9729,B02617
8/4/2014 16:56:00,40.7642,-73.9729,B02617
8/17/2014 1:25:00,40.7133,-73.9585,B02682
8/2/2014 19:59:00,40.7321,-73.9921,B02617
8/10/2014 2:31:00,40.7352,-74.0009,B02682
8/24/2014 21:51:00,40.7221,-73.9968,B02682
8/12/2014 15:59:00,40.7529,-73.9786,B02617
8/26/2014 5:25:00,40.6797,-73.9314,B02764
8/23/2014 19:29:00,40.7528,-73.9894,B02617
8/20/2014 21:13:00,40.7497,-73.9891,B02598
8/23/2014 16:23:00,40.736999999999995,-73.9882,B02598
8/4/2014 13:18:00,40.7409,-73.9787,B02598
8/8/2014 11:33:00,40.7795,-73.9618,B02598
8/29/2014 16:46:00,40.7402,-74.3728,B02617
8/26/2014 14:19:00,40.7458,-73.9568,B02682
8/9/2014 14:15:00,40.6876,-73.9907,B02617
8/20/2014 6:44:00,40.7699,-73.9587,B02682
8/11/2014 4:25:00,40.6587,-73.992,B02617
8/20/2014 21:43:00,40.8295,-73.9283,B02617
8/7/2014 21:14:00,40.746,-73.9137,B02598
8/6/2014 19:42:00,40.7225,-73.9549,B02682
8/28/2014 16:48:00,40.7983,-73.9606,B02682
8/1/2014 12:39:00,40.7174,-74.007,B02617
8/21/2014 7:29:00,40.7346,-73.9834,B02617
8/18/2014 20:27:00,40.7078,-74.0057,B02682
8/8/2014 4:16:00,40.7616,-73.9181,B02682
8/3/2014 7:46:00,40.7301,-73.9549,B02617
8/11/2014 22:13:00,40.7413,-74.0016,B02617
8/7/2014 7:30:00,40.7583,-73.9666,B02617
8/8/2014 23:20:00,40.7688,-73.9849,B02682
8/12/2014 17:11:00,40.7596,-73.9782,B02598
8/9/2014 16:58:00,40.7464,-73.9758,B02682
8/28/2014 6:55:00,40.7463,-73.9773,B02617
8/25/2014 17:56:00,40.7927,-73.92399999999999,B02617
8/6/2014 4:34:00,40.6993,-73.9319,B02764
8/29/2014 9:17:00,40.721,-73.9915,B02682
8/24/2014 14:39:00,40.7375,-73.9992,B02617
8/1/2014 21:27:00,40.7381,-73.9873,B02598
8/11/2014 20:19:00,40.6555,-73.8476,B02682
8/3/2014 9:08:00,40.7513,-73.9906,B02617
8/3/2014 23:52:00,40.679,-73.9709,B02617
8/17/2014 10:32:00,40.7742,-73.9631,B02682
8/21/2014 22:56:00,40.7324,-74.0006,B02512
8/11/2014 5:37:00,40.7853,-73.9707,B02598
8/7/2014 6:28:00,40.7399,-73.9817,B02617
8/5/2014 16:17:00,40.7642,-73.9739,B02598
